district,square,price
Невский район,12.37,2360000
Невский район,12.65,2420000
Невский район,13.14,2495000
Невский район,13.7,3100000
Невский район,18.35,3485000
Невский район,19.2,3660000
Выборгский район,19.5,3000000
Пушкинский район,20.5,4090000
Невский район,20.8,5300000
Выборгский район,20.9,4950000
Выборгский район,20.9,4950000
Выборгский район,21.0,5250000
Пушкинский район,21.0,41100000
Невский район,21.9,4100000
Выборгский район,22.0,6150000
Невский район,22.0,6300000
Пушкинский район,22.0,3900000
Выборгский район,22.5,5550000
Невский район,22.5,5120000
Невский район,22.59,3900000
Выборгский район,22.8,3400000
Выборгский район,23.0,3900000
Пушкинский район,23.0,4900000
Пушкинский район,23.3,3900000
Выборгский район,23.5,5900000
Невский район,23.7,8000000
Выборгский район,24.0,5900000
Невский район,24.0,7000000
Невский район,24.0,4675000
Выборгский район,24.2,5100000
Невский район,24.2,7000000
Пушкинский район,24.3,4700000
Невский район,24.5,5390000
Выборгский район,24.6,5400000
Выборгский район,24.9,3600000
Пушкинский район,24.9,5400000
Пушкинский район,24.9,4350000
Выборгский район,25.0,5000000
Невский район,25.0,6000000
Пушкинский район,25.0,4000000
Пушкинский район,25.2,3750000
Пушкинский район,25.4,5250000
Пушкинский район,25.6,4790000
Пушкинский район,25.7,3450000
Пушкинский район,25.7,4990000
Выборгский район,25.8,5500000
Выборгский район,25.9,7250000
Выборгский район,25.9,9950000
Невский район,26.0,5300000
Пушкинский район,26.0,3400000
Пушкинский район,26.4,5100000
Невский район,26.7,5140000
Невский район,27.4,5700000
Невский район,28.0,6120000
Пушкинский район,28.08,4399000
Невский район,28.2,5780000
Пушкинский район,28.2,4650000
Выборгский район,28.4,9950000
Выборгский район,28.4,8800000
Выборгский район,28.53,4547000
Выборгский район,28.59,4680000
Пушкинский район,28.6,5550000
Пушкинский район,28.7,4600000
Пушкинский район,29.1,5250000
Выборгский район,29.15,5276000
Выборгский район,29.2,5900000
Невский район,29.2,5650000
Невский район,29.2,5200000
Невский район,29.2,5900000
Невский район,29.2,5500000
Выборгский район,29.28,4794000
Невский район,29.3,5500000
Невский район,29.4,6050000
Невский район,29.57,5500000
Выборгский район,29.8,6500000
Выборгский район,30.0,7700000
Выборгский район,30.2,9500000
Невский район,30.2,4999000
Пушкинский район,30.5,5490000
Пушкинский район,30.9,4999000
Невский район,31.0,7051000
Невский район,31.0,5600000
Пушкинский район,31.0,4100000
Невский район,31.1,5000000
Невский район,31.2,5800000
Невский район,31.2,11000000
Невский район,31.2,6650000
Пушкинский район,31.2,3990000
Пушкинский район,31.2,3980000
Выборгский район,31.3,6300000
Пушкинский район,31.4,6300000
Пушкинский район,31.5,3980000
Невский район,31.6,5800000
Пушкинский район,31.6,4700000
Пушкинский район,31.6,4700000
Пушкинский район,31.6,4700000
Пушкинский район,31.6,4700000
Пушкинский район,31.6,4499000
Пушкинский район,31.6,4700000
Пушкинский район,31.6,4700000
Пушкинский район,31.7,5100000
Пушкинский район,31.7,5100000
Пушкинский район,31.7,5100000
Пушкинский район,31.7,5100000
Пушкинский район,31.7,5100000
Пушкинский район,31.7,5100000
Пушкинский район,32.0,4200000
Пушкинский район,32.0,5650000
Пушкинский район,32.0,4990000
